Filename,Error Message,Has Fix,Fix Quality,Fix Correct,Has Explanation,Explanation Correct
src-61745782-2485716396.md,unknown variable,2,Suggested,2,2,2
src-70451131-2947809069.md,unknown variable,2,Confident,2,2,2
src-114347612-5455191628.md,unknown variable,2,Confident,2,2,2
src-46989469-1793739318.md,unknown variable,2,Confident,2,2,2
src-30958703-1159101311.md,unknown variable,2,Confident,2,2,2
src-102831435-4728963014.md,unknown variable,2,Confident,1,2,2
src-114447787-5462015969.md,unknown variable,2,Confident,2,2,2
src-61909914-2493733098.md,unknown variable,2,Confident,2,2,2
src-64406749-2618666606.md,unknown variable,2,Confident,2,2,2
src-22075741-804669079.md,unknown variable,2,Confident,1,2,2
src-102905195-4733371636.md,unknown variable,2,Confident,2,2,2
src-30856041-1155562987.md,unknown variable,2,Confident,2,2,1
src-42358558-1616847745.md,unknown variable,2,Confident,2,2,2
src-36756547-1375501543.md,unknown variable,2,Confident,2,2,2
src-13899681-509635120.md,unknown variable,2,Confident,2,2,2
src-109231833-5134058226.md,unknown variable,2,Confident,2,2,2
src-114480230-5464208109.md,unknown variable,2,Confident,1,2,2
-src-14109352-516581464.md,unknown variable,2,Confident,2,2,2
src-70667070-2958736748.md,unknown variable,2,Confident,2,2,2
src-61906646-2493564780.md,unknown variable,2,Confident,2,2,2
src-70518074-2951340065.md,semicolon expected,2,Confident,2,2,2
src-64441561-2620660818.md,semicolon expected,2,Confident,0,2,2
src-36778033-1376412893.md,semicolon expected,2,Confident,1,2,2
src-102914247-4733910700.md,semicolon expected,2,Confident,1,2,2
src-30804452-1153744322.md,semicolon expected,2,Confident,2,2,2
src-102936053-4735033676.md,semicolon expected,2,Confident,1,2,2
src-55077305-2149977809.md,semicolon expected,2,Confident,2,2,2
src-42320836-1614624359.md,semicolon expected,2,Confident,2,2,2
src-80577273-3470043524.md,semicolon expected,2,Confident,1,2,2
src-95048327-4246027808.md,semicolon expected,2,Confident,2,2,2
src-55049974-2148208485.md,semicolon expected,2,Confident,2,2,2
src-64347158-2619099682.md,semicolon expected,2,Confident,2,2,2
src-89769339-3962198617.md,semicolon expected,2,Confident,2,2,2
src-64403627-2618420245.md,semicolon expected,2,Confident,2,2,2
-src-80548204-3468620945.md,semicolon expected,2,Suggested,2,2,2
src-70486463-2949691864.md,semicolon expected,2,Confident,2,2,2
src-36785501-1376923014.md,semicolon expected,2,Confident,2,2,0
src-95280879-4259267542.md,semicolon expected,2,Confident,2,2,2
src-14017558-513621552.md,semicolon expected,2,Confident,2,2,2
-src-80691740-3475605934.md,semicolon expected,2,Confident,2,2,2
src-61864244-2491444626.md,reached end of file while parsing,2,Confident,2,2,2
src-99567481-4533083583.md,reached end of file while parsing,2,Confident,2,2,2
src-55002653-2145905162.md,reached end of file while parsing,2,Confident,2,2,2
src-99627957-4536613916.md,reached end of file while parsing,2,Confident,2,2,2
src-114490864-5464973491.md,reached end of file while parsing,2,Confident,2,2,2
src-99418638-4524343452.md,reached end of file while parsing,2,Suggested,2,2,2
-src-102826985-4728746367.md,reached end of file while parsing,2,Confident,2,2,1
src-109420827-5144980092.md,reached end of file while parsing,2,Confident,1,2,2
-src-90039076-3977607048.md,reached end of file while parsing,2,Confident,2,2,2
src-99506130-4529588322.md,reached end of file while parsing,2,Confident,2,2,2
